FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,12/20/25 19:36:06.507812512
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3808:ch3,Timeseries,128Hz,,,,,,
3810:ch3,Timeseries,128Hz,,,,,,
10589:ch3,Timeseries,128Hz,,,,,,
10598:ch3,Timeseries,128Hz,,,,,,
10603:ch3,Timeseries,128Hz,,,,,,
14030:ch3,Timeseries,128Hz,,,,,,
14031:ch3,Timeseries,128Hz,,,,,,

DATA_START
Time,3808:ch3,3810:ch3,10589:ch3,10598:ch3,10603:ch3,14030:ch3,14031:ch3
12/20/25 19:36:06.507812512,-0.8908969759941101,-0.8539612293243408,-0.8165193796157837,-0.7789844274520874,-0.6922761797904968,-0.6271459460258484,-0.3377822935581207
12/20/25 19:36:06.515625012,-0.8914223909378052,-0.8544705510139465,-0.8171097040176392,-0.7759835720062256,-0.701685905456543,-0.6332544088363647,-0.3370638489723206
12/20/25 19:36:06.523437512,-0.8919290900230408,-0.8543354868888855,-0.8204331994056702,-0.7754789590835571,-0.6936164498329163,-0.6324520707130432,-0.3354863226413727
12/20/25 19:36:06.531250012,-0.8921617269515991,-0.8550918102264404,-0.8216789960861206,-0.77518230676651,-0.7015989422798157,-0.6256265640258789,-0.3352949917316437
12/20/25 19:36:06.539062512,-0.8921167254447937,-0.8565117716789246,-0.8242396116256714,-0.7753980159759521,-0.6930036544799805,-0.6198397278785706,-0.3345257639884949
12/20/25 19:36:06.546875012,-0.8917413949966431,-0.8558326363563538,-0.8236761093139648,-0.7762069702148438,-0.7019942998886108,-0.6180839538574219,-0.3307811319828033
12/20/25 19:36:06.554687512,-0.8919215798377991,-0.8584834933280945,-0.8242741227149963,-0.7771199345588684,-0.6993809342384338,-0.6161459684371948,-0.3269271552562714
12/20/25 19:36:06.562500012,-0.8914486765861511,-0.8589156866073608,-0.8222655057907104,-0.7775822281837463,-0.7047144770622253,-0.6134328246116638,-0.3247717320919037
12/20/25 19:36:06.570312512,-0.8921467661857605,-0.8596603870391846,-0.8222731351852417,-0.7785144448280334,-0.6991199851036072,-0.6136382222175598,-0.3209802508354187
12/20/25 19:36:06.578125012,-0.8917338848114014,-0.8590198159217834,-0.8238025903701782,-0.7798588871955872,-0.7049279808998108,-0.6121925115585327,-0.3192348480224609
12/20/25 19:36:06.585937512,-0.8930324912071228,-0.8601735830307007,-0.8237259387969971,-0.7763919234275818,-0.7047421336174011,-0.6109676957130432,-0.3188209235668182
12/20/25 19:36:06.593750012,-0.8930324912071228,-0.8628861308097839,-0.8229171633720398,-0.7771507501602173,-0.7069641351699829,-0.6086304783821106,-0.3182742595672607
12/20/25 19:36:06.601562512,-0.8926684260368347,-0.8640321493148804,-0.8206861615180969,-0.7760760188102722,-0.7100163698196411,-0.6068902015686035,-0.3201641738414764
12/20/25 19:36:06.609375012,-0.8906267285346985,-0.8639009594917297,-0.8201303482055664,-0.7785375714302063,-0.7059875726699829,-0.6024832129478455,-0.3220423460006714
12/20/25 19:36:06.617187512,-0.8912084698677063,-0.8645839095115662,-0.818221390247345,-0.779076874256134,-0.7110522389411926,-0.6007506847381592,-0.3249552547931671
12/20/25 19:36:06.625000012,-0.890825629234314,-0.8638932704925537,-0.8171672224998474,-0.7811493277549744,-0.707980215549469,-0.6013708114624023,-0.3282079100608826
12/20/25 19:36:06.632812512,-0.8937456011772156,-0.8633607625961304,-0.8154422640800476,-0.7820584774017334,-0.7142428755760193,-0.6056770086288452,-0.3344281315803528
12/20/25 19:36:06.640625012,-0.8943385481834412,-0.8608295321464539,-0.816067099571228,-0.7849206328392029,-0.7076441645622253,-0.6073204278945923,-0.3382430672645569
12/20/25 19:36:06.648437512,-0.8950967192649841,-0.8601195216178894,-0.8158102631568909,-0.7856679558753967,-0.7130250930786133,-0.6101769804954529,-0.341019332408905
12/20/25 19:36:06.656250012,-0.8956709504127502,-0.8609761595726013,-0.8140507936477661,-0.7889076471328735,-0.7050228714942932,-0.6114250421524048,-0.3453340530395508
12/20/25 19:36:06.664062512,-0.8964666128158569,-0.8598571419715881,-0.8119731545448303,-0.78700852394104,-0.7123213410377502,-0.6127816438674927,-0.3466187119483948
12/20/25 19:36:06.671875012,-0.8954795002937317,-0.8578082323074341,-0.8134680986404419,-0.7871009707450867,-0.7040146589279175,-0.6125141978263855,-0.3441704511642456
12/20/25 19:36:06.679687512,-0.8956747055053711,-0.8551921248435974,-0.8124983310699463,-0.7865038514137268,-0.7117085456848145,-0.6141149401664734,-0.3424914181232452
12/20/25 19:36:06.687500012,-0.8947702050209045,-0.8576886057853699,-0.8138552904129028,-0.7879561185836792,-0.7020576000213623,-0.6157893538475037,-0.3436394035816193
12/20/25 19:36:06.695312512,-0.8939482569694519,-0.8591664433479309,-0.8140162825584412,-0.7875285148620605,-0.7100242376327515,-0.6161304712295532,-0.3422063589096069
12/20/25 19:36:06.703125012,-0.8944211602210999,-0.8604050874710083,-0.8160632252693176,-0.7879831194877625,-0.7008951902389526,-0.6199715137481689,-0.3396292328834534
12/20/25 19:36:06.710937512,-0.8945412635803223,-0.8579047322273254,-0.8154844045639038,-0.7880524396896362,-0.7072250247001648,-0.627583920955658,-0.3376807868480682
12/20/25 19:36:06.718750012,-0.893839418888092,-0.859343945980072,-0.8163239359855652,-0.7877519726753235,-0.7013538479804993,-0.6334210634231567,-0.3364664018154144
12/20/25 19:36:06.726562512,-0.8922480940818787,-0.8565889000892639,-0.8151701092720032,-0.7884337902069092,-0.7011047601699829,-0.6313784718513489,-0.332436740398407
12/20/25 19:36:06.734375012,-0.8938131332397461,-0.8579509854316711,-0.8157527446746826,-0.7888460159301758,-0.6974554657936096,-0.6318396925926208,-0.3302383720874786
12/20/25 19:36:06.742187512,-0.8942897915840149,-0.8543007969856262,-0.8148825764656067,-0.7873590588569641,-0.6963405609130859,-0.6254094839096069,-0.329293429851532
12/20/25 19:36:06.750000012,-0.8947964310646057,-0.8571175336837769,-0.8138322830200195,-0.7834067344665527,-0.7002665400505066,-0.6181420683860779,-0.3287662863731384
12/20/25 19:36:06.757812512,-0.8931975960731506,-0.8577002286911011,-0.8143650889396667,-0.7814382314682007,-0.6956446766853333,-0.6122002601623535,-0.3286022841930389
12/20/25 19:36:06.765625012,-0.8920266628265381,-0.8582866787910461,-0.8164964318275452,-0.7790152430534363,-0.700167715549469,-0.6099948287010193,-0.3286530375480652
12/20/25 19:36:06.773437512,-0.8895720839500427,-0.8563072681427002,-0.8171979188919067,-0.7769620418548584,-0.6925885081291199,-0.6096770167350769,-0.3252637386322021
12/20/25 19:36:06.781250012,-0.8888965249061584,-0.8544474244117737,-0.818367063999176,-0.7730443477630615,-0.7013538479804993,-0.6114521622657776,-0.3235105276107788
12/20/25 19:36:06.789062512,-0.8872676491737366,-0.8566699624061584,-0.8183133602142334,-0.7721814513206482,-0.6930510997772217,-0.6118358969688416,-0.322350800037384
